celltype,gene,rank
3,LGMN,36
3,CD163,37
3,NPC2,38
3,TTYH3,39
3,CD68,40
3,EGFL7,41
3,MT2A,42
3,PMP22,43
3,DAB2,44
3,MFSD1,45
3,CD83,46
3,CD14,47
3,A2M,48
3,MS4A6A,49
3,ARL4C,50
4,UBE2T,1
4,PTTG1,2
4,LDHB,3
4,RAN,4
4,TK1,5
4,TUBA1C,6
4,CDK1,7
4,PRDX2,8
4,S100A10,9
4,MAD2L1,10
4,CARHSP1,11
4,SNRPD1,12
4,H2AFZ,13
4,PDLIM1,14
4,PAGE4,15
4,CDC20,16
4,HMGB2,17
4,NUSAP1,18
4,LSM4,19
4,TUBA1B,20
4,CCNB2,21
4,CCNB1,22
4,CALM2,23
4,STMN1,24
4,HMGA1,25
4,POLR2L,26
4,BIRC5,27
4,CENPW,28
4,PCNA,29
4,SNRPF,30
4,LSM5,31
4,GSTO1,32
4,UBE2C,33
4,TUBB,34
4,DUT,35
4,PCLAF,36
4,SNRPE,37
4,HMGN2,38
4,TYMS,39
4,SLC25A5,40
4,CKS1B,41
4,SNRPG,42
4,MT2A,43
4,RPA3,44
4,YWHAH,45
4,RANBP1,46
4,GSTP1,47
4,HMGB1,48
4,NUCKS1,49
4,GGCT,50
5,FLT1,1
5,RPS27L,2
5,C12orf75,3
5,RABAC1,4
5,IGFBP3,5
5,HLA-G,6
5,HMGN3,7
5,CLTB,8
5,AOC1,9
5,SSR4,10
5,KRT7,11
5,MFAP5,12
5,PAPPA2,13
5,KRT19,14
5,LGALS3,15
5,IGF2.1,16
5,CST6,17
5,HPGD,18
5,CNPY2,19
5,BRI3,20
5,EBI3,21
5,ANXA4,22
5,NOTUM,23
5,ITM2B,24
5,GPX4,25
5,JPT1,26
5,QSOX1,27
5,PPP1R14B,28
5,SRI,29
5,HTRA1,30
5,PRG2,31
5,FN1,32
5,GLRX,33
5,COTL1,34
5,TIMP2,35
5,KRT8,36
5,MXRA7,37
5,HMGB3,38
5,TPM1,39
5,TMEM59,40
5,SPARC,41
5,FSTL3,42
5,TIMP3,43
5,SERPINE2,44
5,PLAC8,45
5,TMSB10,46
5,CD63,47
5,ASCL2,48
5,SELENOM,49
5,CDKN1C,50
6,LTF,1
6,FCN1,2
6,GCA,3
6,AC245128.3,4
6,HP,5
6,MARCKS,6
6,MNDA,7
6,NKG7,8
6,S100A9,9
6,LST1,10
6,ADGRG3,11
6,RAB27A,12
6,HMGB2,13
6,GMFG,14
6,NCF1,15
6,CYBB,16
6,ARG1,17
6,RETN,18
6,CD177,19
6,CDA,20
6,TSPO,21
6,TMSB4X,22
6,CAMP,23
6,LCN2,24
6,CEACAM8,25
6,S100A8,26
6,TUBA4A,27
6,LAPTM5,28
6,S100A12,29
6,FCER1G,30
6,HSPA1A,31
6,TYROBP,32
6,BPI,33
6,RFLNB,34
6,CRISP3,35
6,RGL4,36
6,PADI4,37
6,LYZ,38
6,SRGN,39
6,ALOX5AP,40
6,SLC2A3,41
6,NCF2,42
6,VIM,43
6,CYBA,44
6,CKAP4,45
6,ORM1,46
6,LCP1,47
6,CORO1A,48
6,PGLYRP1,49
6,OLFM4,50
7,DDIT3,1
7,DNAJB1,2
7,ATF3,3
7,PAGE4,4
7,JUN,5
7,EGR1,6
7,HES1,7
7,ID1,8
7,IER2,9
8,KRT23,1
8,TBX3,2
8,TACC2,3
8,GADD45G,4
8,ANXA1,5
8,LCMT1-AS2,6
8,HSPB8,7
8,ST3GAL4,8
8,S100P,9
8,RHOBTB1,10
8,MUC15,11
8,HSD17B1,12
8,NECTIN3,13
8,SLC13A4,14
8,SVEP1,15
8,GDF15,16
8,SLC40A1,17
8,TINCR,18
8,COBLL1,19
8,ATP10D,20
8,GSTA3,21
8,UBE2B,22
8,SEMA6A,23
8,PDCD4,24
8,KMO,25
8,PDLIM2,26
8,CGA,27
8,PGF,28
8,ERVV-1,29
8,ZNF292,30
8,MAFF,31
8,PIM3,32
8,GLDN,33
8,FAR2,34
8,PLAC4,35
8,TMEM40,36
8,HOPX,37
8,EPS8L1,38
8,NUCB2,39
8,HSPB1,40
8,CYP11A1,41
8,CYP19A1,42
8,ERVFRD-1,43
8,DAB2,44
8,BTG3,45
8,INSL4,46
8,ERVW-1,47
8,RAI14,48
8,PRKCZ,49
8,SQSTM1,50
9,KLRB1,1
9,JAK1,2
9,CNOT6L,3
9,DUSP2,4
9,NKG7,5
9,PTPRC,6
9,HLA-E,7
9,BTG1,8
9,CST7,9
9,FYN,10
9,ETS1,11
9,ZFP36L2,12
9,CREM,13
9,KLRD1,14
9,MALAT1,15
9,CCL4,16
9,B2M,17
9,AKNA,18
9,STK4,19
9,TGFB1,20
9,ADGRE5,21
9,TMSB4X,22
9,CYTIP,23
9,HCST,24
9,CD7,25
9,CMC1,26
9,CCL5,27
9,CD247,28
9,METRNL,29
9,SYTL3,30
9,CLEC2B,31
9,HLA-C,32
9,HLA-A,33
9,MT-ATP6,34
9,ISG20,35
9,GZMB,36
9,RUNX3,37
9,HLA-B,38
9,CTSW,39
9,FAM177A1,40
9,GZMM,41
9,SARAF,42
9,PRF1,43
9,ARHGDIB,44
9,AKAP13,45
9,CYBA,46
9,CEMIP2,47
9,REL,48
9,PIK3R1,49
9,MT-CO1,50
